,ZIP,STATE,MSA No.,MSA NAME
6513,15333,PA,38300,"Pittsburgh, PA MSA"
6514,15334,PA,99037,PA NONMETROPOLITAN AREA
6515,15336,PA,38300,"Pittsburgh, PA MSA"
6516,15337,PA,99037,PA NONMETROPOLITAN AREA
6517,15338,PA,99037,PA NONMETROPOLITAN AREA
6518,15339,PA,38300,"Pittsburgh, PA MSA"
6519,15340,PA,38300,"Pittsburgh, PA MSA"
6520,15341,PA,99037,PA NONMETROPOLITAN AREA
6521,15342,PA,38300,"Pittsburgh, PA MSA"
6522,15344,PA,99037,PA NONMETROPOLITAN AREA
6523,15345,PA,38300,"Pittsburgh, PA MSA"
6524,15346,PA,99037,PA NONMETROPOLITAN AREA
6525,15347,PA,38300,"Pittsburgh, PA MSA"
6526,15348,PA,38300,"Pittsburgh, PA MSA"
6527,15349,PA,99037,PA NONMETROPOLITAN AREA
6528,15350,PA,38300,"Pittsburgh, PA MSA"
6529,15351,PA,99037,PA NONMETROPOLITAN AREA
6530,15352,PA,99037,PA NONMETROPOLITAN AREA
6531,15353,PA,99037,PA NONMETROPOLITAN AREA
6532,15354,PA,99037,PA NONMETROPOLITAN AREA
6533,15357,PA,99037,PA NONMETROPOLITAN AREA
6534,15358,PA,38300,"Pittsburgh, PA MSA"
6535,15359,PA,99037,PA NONMETROPOLITAN AREA
6536,15360,PA,38300,"Pittsburgh, PA MSA"
6537,15361,PA,38300,"Pittsburgh, PA MSA"
6538,15362,PA,99037,PA NONMETROPOLITAN AREA
6539,15363,PA,38300,"Pittsburgh, PA MSA"
6540,15364,PA,99037,PA NONMETROPOLITAN AREA
6541,15365,PA,38300,"Pittsburgh, PA MSA"
6542,15366,PA,38300,"Pittsburgh, PA MSA"
6543,15367,PA,38300,"Pittsburgh, PA MSA"
6544,15368,PA,38300,"Pittsburgh, PA MSA"
6545,15370,PA,99037,PA NONMETROPOLITAN AREA
6546,15376,PA,38300,"Pittsburgh, PA MSA"
6547,15377,PA,38300,"Pittsburgh, PA MSA"
6548,15378,PA,38300,"Pittsburgh, PA MSA"
6549,15379,PA,38300,"Pittsburgh, PA MSA"
6550,15380,PA,99037,PA NONMETROPOLITAN AREA
6551,15401,PA,38300,"Pittsburgh, PA MSA"
6552,15410,PA,38300,"Pittsburgh, PA MSA"
6553,15411,PA,99037,PA NONMETROPOLITAN AREA
6554,15412,PA,38300,"Pittsburgh, PA MSA"
6555,15413,PA,38300,"Pittsburgh, PA MSA"
6556,15415,PA,38300,"Pittsburgh, PA MSA"
6557,15416,PA,38300,"Pittsburgh, PA MSA"
6558,15417,PA,38300,"Pittsburgh, PA MSA"
6559,15419,PA,38300,"Pittsburgh, PA MSA"
6560,15420,PA,38300,"Pittsburgh, PA MSA"
6561,15421,PA,38300,"Pittsburgh, PA MSA"
6564,ZIP CODE,STATE,MSA No.,MSA Name
6565,15422,PA,38300,"Pittsburgh, PA MSA"
6566,15423,PA,38300,"Pittsburgh, PA MSA"
6567,15424,PA,99037,PA NONMETROPOLITAN AREA
6568,15425,PA,38300,"Pittsburgh, PA MSA"
6569,15427,PA,38300,"Pittsburgh, PA MSA"
6570,15428,PA,38300,"Pittsburgh, PA MSA"
6571,15429,PA,38300,"Pittsburgh, PA MSA"
6572,15430,PA,38300,"Pittsburgh, PA MSA"
6573,15431,PA,38300,"Pittsburgh, PA MSA"
6574,15432,PA,38300,"Pittsburgh, PA MSA"
6575,15433,PA,38300,"Pittsburgh, PA MSA"
6576,15434,PA,38300,"Pittsburgh, PA MSA"
6577,15435,PA,38300,"Pittsburgh, PA MSA"
6578,15436,PA,38300,"Pittsburgh, PA MSA"
6579,15437,PA,38300,"Pittsburgh, PA MSA"
6580,15438,PA,38300,"Pittsburgh, PA MSA"
6581,15439,PA,38300,"Pittsburgh, PA MSA"
6582,15440,PA,38300,"Pittsburgh, PA MSA"
6583,15442,PA,38300,"Pittsburgh, PA MSA"
6584,15443,PA,38300,"Pittsburgh, PA MSA"
6585,15444,PA,38300,"Pittsburgh, PA MSA"
6586,15445,PA,38300,"Pittsburgh, PA MSA"
6587,15446,PA,38300,"Pittsburgh, PA MSA"
6588,15447,PA,38300,"Pittsburgh, PA MSA"
6589,15448,PA,38300,"Pittsburgh, PA MSA"
6590,15449,PA,38300,"Pittsburgh, PA MSA"
6591,15450,PA,38300,"Pittsburgh, PA MSA"
6592,15451,PA,38300,"Pittsburgh, PA MSA"
6593,15454,PA,38300,"Pittsburgh, PA MSA"
6594,15455,PA,38300,"Pittsburgh, PA MSA"
6595,15456,PA,38300,"Pittsburgh, PA MSA"
6596,15458,PA,38300,"Pittsburgh, PA MSA"
6597,15459,PA,38300,"Pittsburgh, PA MSA"
6598,15460,PA,38300,"Pittsburgh, PA MSA"
6599,15461,PA,38300,"Pittsburgh, PA MSA"
6600,15462,PA,38300,"Pittsburgh, PA MSA"
6601,15463,PA,38300,"Pittsburgh, PA MSA"
6602,15464,PA,38300,"Pittsburgh, PA MSA"
6603,15465,PA,38300,"Pittsburgh, PA MSA"
6604,15466,PA,38300,"Pittsburgh, PA MSA"
6605,15467,PA,38300,"Pittsburgh, PA MSA"
6606,15468,PA,38300,"Pittsburgh, PA MSA"
6607,15469,PA,38300,"Pittsburgh, PA MSA"
6608,15470,PA,38300,"Pittsburgh, PA MSA"
6609,15472,PA,38300,"Pittsburgh, PA MSA"
6610,15473,PA,38300,"Pittsburgh, PA MSA"
6611,15474,PA,38300,"Pittsburgh, PA MSA"
6612,15475,PA,38300,"Pittsburgh, PA MSA"
6613,15476,PA,38300,"Pittsburgh, PA MSA"
6614,15477,PA,38300,"Pittsburgh, PA MSA"
6615,15478,PA,38300,"Pittsburgh, PA MSA"
6616,15479,PA,38300,"Pittsburgh, PA MSA"
6617,15480,PA,38300,"Pittsburgh, PA MSA"
6618,15482,PA,38300,"Pittsburgh, PA MSA"
6619,15483,PA,38300,"Pittsburgh, PA MSA"
6620,15484,PA,38300,"Pittsburgh, PA MSA"
6621,15485,PA,99037,PA NONMETROPOLITAN AREA
6622,15486,PA,38300,"Pittsburgh, PA MSA"
6623,15488,PA,38300,"Pittsburgh, PA MSA"
6624,15489,PA,38300,"Pittsburgh, PA MSA"
6625,15490,PA,38300,"Pittsburgh, PA MSA"
6626,15492,PA,38300,"Pittsburgh, PA MSA"
6627,15501,PA,99037,PA NONMETROPOLITAN AREA
6630,ZIP CODE,STATE,MSA No.,MSA Name
6631,15502,PA,99037,PA NONMETROPOLITAN AREA
6632,15510,PA,99037,PA NONMETROPOLITAN AREA
6633,15520,PA,99037,PA NONMETROPOLITAN AREA
6634,15521,PA,99037,PA NONMETROPOLITAN AREA
6635,15522,PA,99037,PA NONMETROPOLITAN AREA
6636,15530,PA,99037,PA NONMETROPOLITAN AREA
6637,15531,PA,99037,PA NONMETROPOLITAN AREA
6638,15532,PA,99037,PA NONMETROPOLITAN AREA
6639,15533,PA,99037,PA NONMETROPOLITAN AREA
6640,15534,PA,99037,PA NONMETROPOLITAN AREA
6641,15535,PA,99037,PA NONMETROPOLITAN AREA
6642,15536,PA,99037,PA NONMETROPOLITAN AREA
6643,15537,PA,99037,PA NONMETROPOLITAN AREA
6644,15538,PA,99037,PA NONMETROPOLITAN AREA
6645,15539,PA,99037,PA NONMETROPOLITAN AREA
6646,15540,PA,99037,PA NONMETROPOLITAN AREA
6647,15541,PA,99037,PA NONMETROPOLITAN AREA
6648,15542,PA,99037,PA NONMETROPOLITAN AREA
6649,15544,PA,99037,PA NONMETROPOLITAN AREA
6650,15545,PA,99037,PA NONMETROPOLITAN AREA
6651,15546,PA,99037,PA NONMETROPOLITAN AREA
6652,15547,PA,99037,PA NONMETROPOLITAN AREA
6653,15548,PA,99037,PA NONMETROPOLITAN AREA
6654,15549,PA,99037,PA NONMETROPOLITAN AREA
6655,15550,PA,99037,PA NONMETROPOLITAN AREA
6656,15551,PA,99037,PA NONMETROPOLITAN AREA
6657,15552,PA,99037,PA NONMETROPOLITAN AREA
6658,15553,PA,99037,PA NONMETROPOLITAN AREA
6659,15554,PA,99037,PA NONMETROPOLITAN AREA
6660,15555,PA,99037,PA NONMETROPOLITAN AREA
6661,15557,PA,99037,PA NONMETROPOLITAN AREA
6662,15558,PA,99037,PA NONMETROPOLITAN AREA
6663,15559,PA,99037,PA NONMETROPOLITAN AREA
6664,15560,PA,99037,PA NONMETROPOLITAN AREA
6665,15561,PA,99037,PA NONMETROPOLITAN AREA
6666,15562,PA,99037,PA NONMETROPOLITAN AREA
6667,15563,PA,99037,PA NONMETROPOLITAN AREA
6668,15564,PA,99037,PA NONMETROPOLITAN AREA
6669,15565,PA,99037,PA NONMETROPOLITAN AREA
6670,15601,PA,38300,"Pittsburgh, PA MSA"
6671,15605,PA,38300,"Pittsburgh, PA MSA"
